source_display,target_code,target_display
"INTERDERM CREMA 30 G",D01AA01,"D01AA01"
"IVABRADINA CINFA EFG 5 MG 56 COMPRIMIDOS RECUBIERTOS",C01EB17,"Ivabradine"
"KANOVA NIÑOS SOL RECTAL 6 ENVASES UNIDOSIS 2.5 ML",A06AG04,"Glycerol"
"KEPPRA 100 MG/ML SOLUCION ORAL 150 ML (JERINGA 3 ML)",N03AX14,"Levetiracetam"
"KEPPRA 250 MG 60 COMPRIMIDOS CUBIERTA PELICULAR",N03AX14,"Levetiracetam"
"KETOLAR 50 MG/ML 1 VIAL 10 ML",N01AX03,"Ketamine"
"KETOROLACO TROMETAMOL COMBINO PHARM 30 MG 6 AMPOLLAS 1 ML",M01AB15,"Ketorolac"
"KETOROLACO TROMETAMOL NORMON 30 MG 100 AMPOLLAS 1 ML",M01AB15,"Ketorolac"
"KONAKION 10 MG 5 AMP 1 ML ORAL/INY",B02BA01,"Phytomenadione"
"KONAKION 2 MG 5 AMP 0.2 ML PEDIAT",B02BA01,"Phytomenadione"
"LACTOFERRINA  800 MG (40 MG FE) VIAL BEB 15 ML",B03AB09,"Ferric proteinsuccinylate"
"LANACORDIN 0.25 MG/5 ML SOLU 60 ML",C01AA05,"Digoxin"
"LEVETIRACETAM NORMON EFG 100 MG/ML 50 VIALES CONCENTRADO PERFUSION 5 ML",N03AX14,"Levetiracetam"
"LOMPER 100 MG/5 ML SUSP 30 ML",P02CA01,"Mebendazole"
"MAGNESIO AQUILEA 3 G SOBRES (375 MG MAGNESIO = 31.5 MEQ/SOBRE)",A12CC03,"Magnesium gluconate"
"MEGAMILBEDOCE 10 MG 10 AMPOLLAS 2 ML",B03BA03,"Hydroxocobalamin"
"MEINSOL CLORURO POTASICO 14.9% 1 AMPOLLA 5 ML",B05XA01,"Potassium chloride"
"MELAMIL 6 MG/ML SOLUCION ORAL 30 ML",N07,"OTHER NERVOUS SYSTEM DRUGS"
"MELAMIL TRIPTO SOLUCION ORAL",N07,"OTHER NERVOUS SYSTEM DRUGS"
"MEROPENEM KABI EFG 500 MG IV 10 VIALES 20 ML",J01DH02,"Meropenem"
"METALGIAL 500 MG/ML FRASCO 20 ML",N02BB02,"metamizole sodium"
"METAMIZOL NORMON 2 G 5 AMPOLLAS 5 ML",N02BB02,"Metamizole sodium"
